id;title;description;category;domain;difficulty;estimated_hours;skills_gained;prerequisites;format;is_starter_pack;is_certification;icon_emoji;order_index;created_at
0c60de17-7940-445c-8d7f-86153873a455;Getting Started with Tech Careers;A beginner-friendly introduction to various tech career paths;starter;Tech;beginner;3;"[""career awareness"",""tech basics"",""goal setting""]";[];mixed;true;false;🚀;1;2026-03-08 11:27:54.408509+00
b9faab32-eef9-4e1d-88ea-6a8f8857ce01;Design Thinking Fundamentals;Learn the human-centered approach to problem solving;design;Design;beginner;4;"[""empathy mapping"",""ideation"",""prototyping"",""user research""]";[];mixed;true;false;🎨;2;2026-03-08 11:27:54.408509+00
07b5a894-3317-499b-93ab-f6e08e21968c;Leadership Essentials;Core leadership skills for emerging professionals;leadership;Leadership;intermediate;6;"[""communication"",""decision making"",""team building"",""conflict resolution""]";[];mixed;false;false;👔;3;2026-03-08 11:27:54.408509+00
95734890-c963-4b3e-aa98-0ff053627af1;Startup Foundations;Everything you need to know before launching;entrepreneurship;Entrepreneurship;intermediate;8;"[""business model"",""market research"",""pitching"",""MVP development""]";[];mixed;false;false;💡;4;2026-03-08 11:27:54.408509+00
8642f5e3-0d58-4ca4-a29f-6e1399ba3114;Data Literacy Basics;Understanding data in the modern workplace;tech;Tech;beginner;4;"[""data analysis"",""visualization"",""spreadsheets"",""critical thinking""]";[];mixed;true;false;📊;5;2026-03-08 11:27:54.408509+00
9ee7f51f-8a93-42d3-8567-78b54ecfc016;Communication Mastery;Written and verbal communication for professionals;soft-skills;Leadership;beginner;5;"[""writing"",""presentation"",""active listening"",""feedback""]";[];mixed;true;false;💬;6;2026-03-08 11:27:54.408509+00
680a2a6e-51c3-4fc9-8f7f-e01eadd4784d;Product Management 101;Introduction to building products users love;tech;Tech;intermediate;10;"[""user stories"",""roadmapping"",""prioritization"",""analytics""]";[];mixed;false;false;📦;7;2026-03-08 11:27:54.408509+00
d6c7b32b-661e-4221-bda1-00a7966cde0c;Marketing Fundamentals;Core marketing concepts and strategies;marketing;Marketing;beginner;6;"[""branding"",""content strategy"",""social media"",""analytics""]";[];mixed;true;false;📣;8;2026-03-08 11:27:54.408509+00
a36033be-0168-4711-829e-a0b63629137a;Financial Literacy for Careers;Understanding money, budgets, and career economics;finance;Finance;beginner;4;"[""budgeting"",""salary negotiation"",""investing basics""]";[];mixed;true;false;💰;9;2026-03-08 11:27:54.408509+00
d0cdea48-0f00-4ef4-abe4-07e028d34602;Healthcare Career Pathways;Exploring opportunities in the health sector;healthcare;Healthcare;beginner;5;"[""health systems"",""patient care"",""medical ethics""]";[];mixed;true;false;🏥;10;2026-03-08 11:27:54.408509+00
