id;user_id;test_type;question_id;question_text;answer_value;answer_label;target_modules;signal_tags;weight;created_at
16bd8407-d19d-4f0f-acc3-dbc8b290f040;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;sv1;when someone asks 'what do u wanna be?', you usually… 👀;vague;vague;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_sv1"",""vague""]";0.7;2026-04-23 11:53:24.596814+00
3fe78621-0b52-47e4-9e7c-638c87755cee;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;sv2;your knowledge about different careers mostly comes from…;media;media;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_sv2"",""media""]";0.7;2026-04-23 11:56:36.912867+00
fa3b5e2d-fd8d-4feb-b033-a6aa4b3e7b8d;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;sv3;if someone said 'try something completely different from your plan'…;curious_scared;curious_scared;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_sv3"",""curious_scared""]";0.7;2026-04-23 11:56:39.925497+00
371d48de-5964-4356-b336-a0c400409b74;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;sv4;how do you feel when you have to make a big decision about your future?;directionless;directionless;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_sv4"",""directionless""]";0.7;2026-04-23 11:56:50.246382+00
898bf192-2eb5-4e75-a1d2-2d21bb89adaa;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q1;if you could shadow someone for an entire day, who'd it be? 🌟;game_dev;game_dev;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q1"",""game_dev""]";0.7;2026-04-23 11:56:57.478038+00
bcd71db6-b24a-40bd-aee7-6b0d359f508e;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q2;which of these saturday activities gives you the most energy? 🔋;creative;creative;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q2"",""creative""]";0.7;2026-04-23 11:57:05.191788+00
5c1b0643-7c11-465e-8e5a-6f0b2fe11b3d;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q3;what kinda rabbit holes do you fall into online? 🕳️;art,music,business;art, music, business;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q3"",""art"",""music"",""business""]";0.7;2026-04-23 11:57:17.089311+00
2046c05e-8048-4b72-ac9e-4a1f64c66ded;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q4;in a group project, you naturally end up… 🤝;ideation;ideation;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q4"",""ideation""]";0.7;2026-04-23 11:57:22.604473+00
24e10ec9-c847-443a-b3b5-9a815d2d348a;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q5;if you could have any superpower for your future career… ⚡;creative;creative;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q5"",""creative""]";0.7;2026-04-23 11:57:33.544767+00
6903d366-054d-4052-a514-600372637fed;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q6;what makes you completely lose track of time? ⏰;digital_building,narrative;digital_building, narrative;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q6"",""digital_building"",""narrative""]";0.7;2026-04-23 11:57:45.741106+00
e9c758f2-cf44-4258-aba8-c78f5abf864d;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q7;if your school had these clubs, which one would you join first? 🏫;art;art;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q7"",""art""]";0.7;2026-04-23 11:57:51.943652+00
54ddaaf3-c9ba-4fe2-9369-1b53c12cdf98;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q8;which of these worlds fascinates you the most? 🌍;internet,business,environment;internet, business, environment;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q8"",""internet"",""business"",""environment""]";0.7;2026-04-23 11:58:02.457865+00
0bac53b8-4afe-417b-9c19-03adb09090bc;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q9;how do you pick up new things best? 🧠;kinesthetic;kinesthetic;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q9"",""kinesthetic""]";0.7;2026-04-23 11:58:07.159566+00
ca854696-17a2-4c20-bb93-d7bec64d1124;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q10;when you daydream about the future, it usually looks like… 💭;achiever;achiever;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q10"",""achiever""]";0.7;2026-04-23 11:58:13.448516+00
b10be1e1-ccca-4fbc-a584-dd722b6246f6;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q11;pick the vibe that matches where you are right now 🎯;multi_interest;multi_interest;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q11"",""multi_interest""]";0.7;2026-04-23 11:58:24.819038+00
74911c9d-a64b-4566-9b8c-9ce7b42aa843;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q12;what would make learning about careers way more interesting? 📚;experiential;experiential;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q12"",""experiential""]";0.7;2026-04-23 11:58:32.106416+00
3aa1dbdf-da6c-433a-8bc3-097efd613971;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;discovery;j1q13;when something doesn't go as planned, you usually… 🔄;analytical;analytical;"[""roadmap"",""job_matching"",""skill_stacker"",""content_library"",""moodboard"",""career_coach""]";"[""discovery_j1q13"",""analytical""]";0.7;2026-04-23 11:58:41.28866+00
e79e6f26-7a03-45ab-8bf2-8f9238246b74;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;psychometric;cognitive_problem;When faced with a complex problem, you naturally prefer to:;Try things out and learn by doing;Try things out and learn by doing;"[""roadmap"",""skill_stacker"",""career_coach""]";"[""cognitive_style"",""try_things_out_and_learn_by_doing""]";0.8;2026-04-23 12:01:52.266138+00
55d26367-2ed1-4a75-8211-30944b0cc043;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;psychometric;cognitive_decision;When making decisions with limited information, you:;Decide and adjust later;Decide and adjust later;"[""selfgraph"",""transition_planner""]";"[""decision_style"",""decide_and_adjust_later""]";0.8;2026-04-23 12:02:08.81685+00
fd85ecd6-f166-4bc0-b4a0-41f3bf2e7568;c0800aaf-f435-4f9e-bfae-6ffa49cadfe5;psychometric;adaptability_change;When plans suddenly change, you usually:;Take time to recalibrate;Take time to recalibrate;"[""transition_planner"",""project_playground""]";"[""adaptability"",""take_time_to_recalibrate""]";0.8;2026-04-23 12:02:16.374853+00
