id;name;description;topic;community_type;tags;icon_emoji;member_count;is_featured;created_by;created_at;updated_at
3fb3132b-bb91-415a-9dd6-0172af17e3ec;First-Time Founders;A safe space for new entrepreneurs to learn, share, and grow together.;general;support;"[""beginner"",""mentoring"",""learning""]";🌱;67;true;;2026-03-08 10:03:09.704463+00;2026-03-08 10:03:09.704463+00
2470b7a3-43a0-4256-9133-29eceda56bc0;EdTech Innovators;Building the future of education through technology and creativity.;edtech;interest;"[""education"",""technology"",""impact""]";📚;52;true;;2026-03-08 10:03:09.704463+00;2026-03-08 10:03:09.704463+00
21bd2e53-24d2-4ab2-adaf-bf73585255bd;Social Impact Hub;Startups solving real-world problems for communities and society.;social_impact;interest;"[""impact"",""sustainability"",""community""]";🌍;38;true;;2026-03-08 10:03:09.704463+00;2026-03-08 10:03:09.704463+00
b3d77e01-4095-486a-86c1-97a174811b48;FinTech Explorers;Innovating financial access, literacy, and inclusion.;fintech;interest;"[""finance"",""payments"",""banking""]";💳;29;false;;2026-03-08 10:03:09.704463+00;2026-03-08 10:03:09.704463+00
fe6cb117-d4a0-4ba1-bf2f-a0fb296eb64e;AI & Automation;Exploring AI-driven products, services, and business models.;ai;interest;"[""artificial-intelligence"",""automation"",""ml""]";🤖;41;true;;2026-03-08 10:03:09.704463+00;2026-03-08 10:03:09.704463+00
04f73d08-19d4-4c4a-903d-88a176ca0eea;Creative Entrepreneurs;Art, design, and content-driven ventures for creative minds.;creative;interest;"[""design"",""art"",""content""]";🎨;23;false;;2026-03-08 10:03:09.704463+00;2026-03-08 10:03:09.704463+00
ba61d3fc-9755-469d-a5c3-27e83f1cf2ea;Founder Burnout Circle;Confidential space to discuss stress, burnout, and emotional challenges.;wellness;emotional_support;"[""burnout"",""stress"",""resilience""]";💙;31;true;;2026-03-08 10:03:09.704463+00;2026-03-08 10:03:09.704463+00
eb913cfa-81ff-4c6e-bed1-1586d9b3b67b;Fundraising Network;Connect with investors, advisors, and fundraising experts.;funding;networking;"[""investors"",""pitch"",""funding""]";💰;45;false;;2026-03-08 10:03:09.704463+00;2026-03-08 10:03:09.704463+00
fad61793-5226-4145-8edd-870ca3f109e6;Prototype Testing Lab;Share prototypes, get feedback, and iterate with peer support.;product;collaboration;"[""mvp"",""testing"",""feedback""]";🔬;34;false;;2026-03-08 10:03:09.704463+00;2026-03-08 10:03:09.704463+00
10eeecd3-411b-4102-b6dc-4206284e7a86;Launch Accountability;Stay on track with launch milestones through peer motivation.;launch;accountability;"[""launch"",""accountability"",""milestones""]";🚀;28;false;;2026-03-08 10:03:09.704463+00;2026-03-08 10:03:09.704463+00
