id;career_path_id;challenge_name;task_description;difficulty_level;estimated_time;tools_used;skills_needed;compensation;domain;tags;is_ai_generated;is_active;created_at
7ee405aa-aa2a-424e-b54c-7b342b348fee;;Design a Mobile App Wireframe;Create a complete wireframe for a food delivery app targeting rural areas in India;beginner;2-3 hours;"[""Figma"",""Canva""]";"[""UI Design"",""User Research""]";₹2,000-5,000;Design;"[""ui"",""mobile"",""wireframe""]";true;true;2026-04-04 06:33:55.140381+00
36344fca-82c0-4715-9150-17bfd0e4c93a;;Build a REST API;Design and implement a RESTful API for a library management system;intermediate;4-6 hours;"[""Node.js"",""Express"",""PostgreSQL""]";"[""Backend Development"",""Database Design""]";₹5,000-10,000;Technology;"[""api"",""backend"",""coding""]";true;true;2026-04-04 06:33:55.140381+00
17a01151-fddd-4f9f-b8a6-c775b6c86767;;Write a Policy Brief;Draft a 2-page policy brief on water conservation in Indian agriculture;intermediate;3-4 hours;"[""Google Docs"",""Research databases""]";"[""Policy Writing"",""Research"",""Analysis""]";₹3,000-7,000;Public Policy;"[""policy"",""writing"",""governance""]";true;true;2026-04-04 06:33:55.140381+00
8500c1f5-2906-40cf-a2ad-287d9b8a9b80;;Create a Financial Model;Build a DCF model for a mid-size Indian FMCG company;advanced;5-8 hours;"[""Excel"",""Google Sheets""]";"[""Financial Modeling"",""Valuation"",""Accounting""]";₹8,000-15,000;Finance;"[""finance"",""modeling"",""valuation""]";true;true;2026-04-04 06:33:55.140381+00
ac8f38d2-7c85-4f7c-b75e-dd0335baa050;;Conduct User Interviews;Plan and conduct 5 user interviews for an EdTech product targeting Tier 2 cities;beginner;3-5 hours;"[""Zoom"",""Notion"",""Google Forms""]";"[""User Research"",""Communication"",""Empathy""]";₹2,000-4,000;Product Management;"[""research"",""interviews"",""product""]";true;true;2026-04-04 06:33:55.140381+00
1e5018a4-da4e-4c01-bd04-6154a6e27180;;Analyze Soil Samples;Document and analyze soil composition data for organic farming feasibility;intermediate;4-6 hours;"[""Spreadsheets"",""Lab equipment""]";"[""Agricultural Science"",""Data Analysis"",""Biology""]";₹4,000-8,000;Agriculture;"[""agriculture"",""science"",""analysis""]";true;true;2026-04-04 06:33:55.140381+00
2238f43e-c2ff-4463-9ff0-7a44713e9c7e;;Design a Sustainable Building;Create a conceptual design for a net-zero energy school building;advanced;6-10 hours;"[""AutoCAD"",""SketchUp"",""Revit""]";"[""Architecture"",""Sustainability"",""Engineering""]";₹10,000-20,000;Architecture;"[""architecture"",""sustainability"",""design""]";true;true;2026-04-04 06:33:55.140381+00
9b4eeb85-06fb-4bb0-8f60-3042957529aa;;Write a Legal Contract;Draft a freelancer services agreement compliant with Indian law;intermediate;2-4 hours;"[""Word"",""Legal templates""]";"[""Legal Writing"",""Contract Law"",""Attention to Detail""]";₹5,000-12,000;Law;"[""legal"",""contract"",""writing""]";true;true;2026-04-04 06:33:55.140381+00
d3f4193a-0c3f-4e0d-9a6d-f444f758b7a5;;Create a Marketing Campaign;Plan a social media campaign for a local handicraft business;beginner;2-3 hours;"[""Canva"",""Instagram"",""Meta Business Suite""]";"[""Digital Marketing"",""Content Creation"",""Strategy""]";₹2,000-5,000;Marketing;"[""marketing"",""social-media"",""branding""]";true;true;2026-04-04 06:33:55.140381+00
a0923618-e15f-49ce-8168-95f0f19ece65;;Build a Machine Learning Model;Train a sentiment analysis model on Indian product reviews;advanced;6-8 hours;"[""Python"",""TensorFlow"",""Jupyter""]";"[""Machine Learning"",""NLP"",""Python""]";₹10,000-20,000;Artificial Intelligence;"[""ai"",""ml"",""nlp""]";true;true;2026-04-04 06:33:55.140381+00
