id;title;description;category;icon_emoji;tags;skills_related;difficulty;created_at
52bd6181-1264-478c-852e-e451194a1ce4;Software Development;Build applications and solve problems through code;Technology;💻;"[""coding"",""logic"",""problem-solving""]";"[""Programming"",""Algorithms"",""System Design""]";beginner;2026-03-08 10:57:16.188648+00
b9300b5a-274e-4c51-b0a8-a39ed02d7578;Data Science;Extract insights from data to drive decisions;Technology;📊;"[""analytics"",""statistics"",""ML""]";"[""Python"",""Statistics"",""Machine Learning""]";beginner;2026-03-08 10:57:16.188648+00
03de52f9-a99b-479e-85bf-6af82c7fce0f;UX/UI Design;Create intuitive and beautiful digital experiences;Design;🎨;"[""creativity"",""empathy"",""visual""]";"[""Figma"",""User Research"",""Prototyping""]";beginner;2026-03-08 10:57:16.188648+00
74dbdcf8-5fd9-4b9c-95af-d197fb9a70f6;Digital Marketing;Connect brands with audiences online;Business;📱;"[""marketing"",""social"",""analytics""]";"[""SEO"",""Content Strategy"",""Analytics""]";beginner;2026-03-08 10:57:16.188648+00
6552699d-3a7d-4fa1-b22d-15ecab2a1899;Product Management;Lead product vision from idea to launch;Business;🚀;"[""strategy"",""leadership"",""tech""]";"[""Roadmapping"",""User Research"",""Agile""]";beginner;2026-03-08 10:57:16.188648+00
0e210cac-84c2-4692-93a4-410cd91495ff;Content Creation;Tell stories that engage and inspire;Creative;✍️;"[""writing"",""storytelling"",""media""]";"[""Writing"",""Video Editing"",""Social Media""]";beginner;2026-03-08 10:57:16.188648+00
28540f15-8fc7-4287-b096-974317ea31a7;Healthcare;Make a difference in people's lives and wellbeing;Health;🏥;"[""care"",""science"",""service""]";"[""Patient Care"",""Medical Knowledge"",""Empathy""]";beginner;2026-03-08 10:57:16.188648+00
350619a7-28df-47dd-a981-272985c0980d;Education;Shape minds and inspire the next generation;Social Impact;📚;"[""teaching"",""mentoring"",""learning""]";"[""Communication"",""Curriculum Design"",""Psychology""]";beginner;2026-03-08 10:57:16.188648+00
311114aa-8534-4cf3-9823-63d1707630d2;Finance;Navigate the world of money and investments;Business;💰;"[""numbers"",""analysis"",""risk""]";"[""Financial Analysis"",""Excel"",""Economics""]";beginner;2026-03-08 10:57:16.188648+00
7ea8129e-8711-4592-9525-bea35613f6d0;Entrepreneurship;Build something from nothing and lead change;Business;🦄;"[""innovation"",""risk"",""vision""]";"[""Business Strategy"",""Networking"",""Fundraising""]";beginner;2026-03-08 10:57:16.188648+00
5c732cdb-4327-4dc9-b776-c55b7396e6a0;Engineering;Design and build solutions to real-world problems;STEM;⚙️;"[""technical"",""design"",""innovation""]";"[""CAD"",""Physics"",""Problem Solving""]";beginner;2026-03-08 10:57:16.188648+00
e285d5d9-71a9-4553-9120-1f415a6e8718;Environmental Science;Protect and understand our planet;Science;🌍;"[""sustainability"",""research"",""impact""]";"[""Research"",""Data Analysis"",""Environmental Policy""]";beginner;2026-03-08 10:57:16.188648+00
