id;user_id;milestone_percent;reward_key;reward_title;reward_description;unlocked_at
0a21cc2a-38dd-45a9-b29d-1818e542326a;6a3a603e-36c9-483d-b16e-ed36a0a23fd6;30;free_psychometric_test;Free Curiosity Compass Test;Unlock the full psychometric assessment (worth ₹2,999) for free!;2026-04-09 15:14:10.162439+00
4439a629-668f-459b-88f8-24567d583c7d;6a3a603e-36c9-483d-b16e-ed36a0a23fd6;50;free_ai_roadmaps;5 Free AI Roadmap Creations;Get 5 personalized AI-powered career roadmaps through Curiosity Compass.;2026-04-09 15:14:10.162439+00
31f242f1-7af4-4537-9468-6f45a10c12db;6a3a603e-36c9-483d-b16e-ed36a0a23fd6;70;free_career_therapist;Free AI Career Therapist Session;Unlimited AI career therapist chats for your first month.;2026-04-09 15:14:10.162439+00
6daa13d6-7ee0-4c32-b9d5-439fb8d54708;6a3a603e-36c9-483d-b16e-ed36a0a23fd6;90;free_mentor_session;Free Mentor Session;One free 1-on-1 mentor session with an industry expert.;2026-04-09 15:14:10.162439+00
94b83f1f-6248-4c63-9cf6-8899e0c4ba6d;3547df05-1355-4c14-bf47-9db3f4167c05;30;free_psychometric_test;Free Curiosity Compass Test;Unlock the full psychometric assessment (worth ₹2,999) for free!;2026-04-12 11:51:13.793348+00
86e5cd8e-6016-431f-831b-7e045e699a0e;3547df05-1355-4c14-bf47-9db3f4167c05;50;free_ai_roadmaps;5 Free AI Roadmap Creations;Get 5 personalized AI-powered career roadmaps through Curiosity Compass.;2026-04-12 11:51:13.793348+00
d951dc93-5e0a-46b0-bb76-8c78bb433b59;3547df05-1355-4c14-bf47-9db3f4167c05;70;free_career_therapist;Free AI Career Therapist Session;Unlimited AI career therapist chats for your first month.;2026-04-12 11:51:13.793348+00
88d6fc17-004b-4de1-84ba-ae019cda0987;3547df05-1355-4c14-bf47-9db3f4167c05;90;free_mentor_session;Free Mentor Session;One free 1-on-1 mentor session with an industry expert.;2026-04-12 11:51:13.793348+00
dbea161f-c72f-4779-b329-238084298732;95abd7bb-a94c-4b6d-bea2-28b26ba7406c;30;free_psychometric_test;Free Curiosity Compass Test;Unlock the full psychometric assessment (worth ₹2,999) for free!;2026-04-13 12:27:16.222399+00
df25a626-fd01-4cbb-8323-88065a34408a;95abd7bb-a94c-4b6d-bea2-28b26ba7406c;50;free_ai_roadmaps;5 Free AI Roadmap Creations;Get 5 personalized AI-powered career roadmaps through Curiosity Compass.;2026-04-13 12:27:16.222399+00
b0725df8-0c00-427b-a793-3f563907b9c8;95abd7bb-a94c-4b6d-bea2-28b26ba7406c;70;free_career_therapist;Free AI Career Therapist Session;Unlimited AI career therapist chats for your first month.;2026-04-13 12:27:16.222399+00
833b7e3e-0127-4f7d-a3ea-9aab110f6086;95abd7bb-a94c-4b6d-bea2-28b26ba7406c;90;free_mentor_session;Free Mentor Session;One free 1-on-1 mentor session with an industry expert.;2026-04-13 12:27:16.222399+00
4ec256ec-3559-4332-bddf-e342726daf67;1f8388e3-7e41-409e-a5c7-426d6e5461cb;30;free_psychometric_test;Free Curiosity Compass Test;Unlock the full psychometric assessment (worth ₹2,999) for free!;2026-04-13 16:03:40.495711+00
98ead97e-a979-43a0-80bd-a02c8f442637;1f8388e3-7e41-409e-a5c7-426d6e5461cb;50;free_ai_roadmaps;5 Free AI Roadmap Creations;Get 5 personalized AI-powered career roadmaps through Curiosity Compass.;2026-04-13 16:03:40.495711+00
c6935652-5c4a-4c4a-8645-acc106d0d927;1f8388e3-7e41-409e-a5c7-426d6e5461cb;70;free_career_therapist;Free AI Career Therapist Session;Unlimited AI career therapist chats for your first month.;2026-04-13 16:03:40.495711+00
0ad37975-d3a2-4eae-aca5-271dfb27b196;1f8388e3-7e41-409e-a5c7-426d6e5461cb;90;free_mentor_session;Free Mentor Session;One free 1-on-1 mentor session with an industry expert.;2026-04-13 16:03:40.495711+00
ea835716-34c0-4eb1-8141-744fb361c032;3f9e3b45-d030-49d3-a2b6-72187d81ca49;30;free_psychometric_test;Free Curiosity Compass Test;Unlock the full psychometric assessment (worth ₹2,999) for free!;2026-04-14 06:01:49.620023+00
1f5b8f18-4a05-4547-8595-b49e3ebf6507;3f9e3b45-d030-49d3-a2b6-72187d81ca49;50;free_ai_roadmaps;5 Free AI Roadmap Creations;Get 5 personalized AI-powered career roadmaps through Curiosity Compass.;2026-04-14 06:01:49.620023+00
d7e199f3-3667-4807-bdeb-8c31de79a4c0;3f9e3b45-d030-49d3-a2b6-72187d81ca49;70;free_career_therapist;Free AI Career Therapist Session;Unlimited AI career therapist chats for your first month.;2026-04-14 06:01:49.620023+00
bee377ec-ea1f-4f78-99d0-96b2cddeca25;3f9e3b45-d030-49d3-a2b6-72187d81ca49;90;free_mentor_session;Free Mentor Session;One free 1-on-1 mentor session with an industry expert.;2026-04-14 06:01:49.620023+00
0982d9f6-c3a2-4c85-81d8-cd2a1efd2cd1;185a244b-6004-44db-9c29-902954fcd57d;30;free_psychometric_test;Free Curiosity Compass Test;Unlock the full psychometric assessment (worth ₹2,999) for free!;2026-04-14 06:16:04.390477+00
7e01e4e2-a72b-4d12-a81b-b4223cfbd74a;185a244b-6004-44db-9c29-902954fcd57d;50;free_ai_roadmaps;5 Free AI Roadmap Creations;Get 5 personalized AI-powered career roadmaps through Curiosity Compass.;2026-04-14 06:16:04.390477+00
8fdf968d-a346-444e-86c0-c6968e8aaff8;185a244b-6004-44db-9c29-902954fcd57d;70;free_career_therapist;Free AI Career Therapist Session;Unlimited AI career therapist chats for your first month.;2026-04-14 06:16:04.390477+00
8e893709-c2d2-433f-8aa1-a4382d344a9f;185a244b-6004-44db-9c29-902954fcd57d;90;free_mentor_session;Free Mentor Session;One free 1-on-1 mentor session with an industry expert.;2026-04-14 06:16:04.390477+00
6af200cc-8b0e-4727-8fe3-5bb45cbff579;661c8ef3-b1d1-46c3-ac3d-84024c6d4629;30;free_psychometric_test;Free Curiosity Compass Test;Unlock the full psychometric assessment (worth ₹2,999) for free!;2026-04-14 14:17:49.464214+00
75b53467-4dae-4966-b93e-b845ed709fd7;661c8ef3-b1d1-46c3-ac3d-84024c6d4629;50;free_ai_roadmaps;5 Free AI Roadmap Creations;Get 5 personalized AI-powered career roadmaps through Curiosity Compass.;2026-04-14 14:17:49.464214+00
187476da-2099-411b-8b21-13cc528259f9;661c8ef3-b1d1-46c3-ac3d-84024c6d4629;70;free_career_therapist;Free AI Career Therapist Session;Unlimited AI career therapist chats for your first month.;2026-04-14 14:17:49.464214+00
be52b1f2-f1d2-44ae-ad52-4c267ed370ea;661c8ef3-b1d1-46c3-ac3d-84024c6d4629;90;free_mentor_session;Free Mentor Session;One free 1-on-1 mentor session with an industry expert.;2026-04-14 14:17:49.464214+00
3a4d286f-902b-4654-95f8-17d56b4e7f72;ca5e7503-75fe-4078-b350-2259b3976fce;30;free_psychometric_test;Free Curiosity Compass Test;Unlock the full psychometric assessment (worth ₹2,999) for free!;2026-04-15 04:11:15.738768+00
f4842b0b-2aed-449b-854f-48c921feea15;ca5e7503-75fe-4078-b350-2259b3976fce;50;free_ai_roadmaps;5 Free AI Roadmap Creations;Get 5 personalized AI-powered career roadmaps through Curiosity Compass.;2026-04-15 04:11:15.738768+00
393350ec-7bdf-4b92-a708-ff8087b619cf;ca5e7503-75fe-4078-b350-2259b3976fce;70;free_career_therapist;Free AI Career Therapist Session;Unlimited AI career therapist chats for your first month.;2026-04-15 04:11:15.738768+00
2b97080d-d61c-4a50-ba8f-557cd41b42ad;ca5e7503-75fe-4078-b350-2259b3976fce;90;free_mentor_session;Free Mentor Session;One free 1-on-1 mentor session with an industry expert.;2026-04-15 04:11:15.738768+00
2d021cbb-a538-43e3-a3ff-5775c2b5b551;6bdfd1fe-5581-4d38-8f1c-0a052d1b2631;30;free_psychometric_test;Free Curiosity Compass Test;Unlock the full psychometric assessment (worth ₹2,999) for free!;2026-04-17 06:44:23.979232+00
9d842657-9a65-4322-b8a4-4ae0136dd3af;6bdfd1fe-5581-4d38-8f1c-0a052d1b2631;50;free_ai_roadmaps;5 Free AI Roadmap Creations;Get 5 personalized AI-powered career roadmaps through Curiosity Compass.;2026-04-17 06:44:23.979232+00
60da1536-4a26-484d-b74f-37c9a46a15ef;6bdfd1fe-5581-4d38-8f1c-0a052d1b2631;70;free_career_therapist;Free AI Career Therapist Session;Unlimited AI career therapist chats for your first month.;2026-04-17 06:44:23.979232+00
7b18f5ae-0d8a-4e66-9622-a8e529efb225;6bdfd1fe-5581-4d38-8f1c-0a052d1b2631;90;free_mentor_session;Free Mentor Session;One free 1-on-1 mentor session with an industry expert.;2026-04-17 06:44:23.979232+00
13e26250-9ad5-417f-b076-79bf51304dec;19a62dce-cd0d-4616-a105-a6a6f7ca43db;30;free_psychometric_test;Free Curiosity Compass Test;Unlock the full psychometric assessment (worth ₹2,999) for free!;2026-04-18 01:00:56.089264+00
52196ca6-8f39-4981-aed2-a9afec0faaf1;19a62dce-cd0d-4616-a105-a6a6f7ca43db;50;free_ai_roadmaps;5 Free AI Roadmap Creations;Get 5 personalized AI-powered career roadmaps through Curiosity Compass.;2026-04-18 01:00:56.089264+00
18dcedf4-f75a-4ce8-ad57-c20b2dfd6eb9;19a62dce-cd0d-4616-a105-a6a6f7ca43db;70;free_career_therapist;Free AI Career Therapist Session;Unlimited AI career therapist chats for your first month.;2026-04-18 01:00:56.089264+00
f973f57b-0a91-40dc-b199-c67deeb9dc06;19a62dce-cd0d-4616-a105-a6a6f7ca43db;90;free_mentor_session;Free Mentor Session;One free 1-on-1 mentor session with an industry expert.;2026-04-18 01:00:56.089264+00
8e9e021a-4148-4b93-90f4-36ef111f594d;443023cf-58ff-4a58-81af-845b709d31ae;30;free_discovery_test;Free Discovery Test;Unlock the full Discovery Test (worth ₹2,999) for free!;2026-04-20 05:43:14.95837+00
18a32699-3a1f-4430-837a-c757befd7f74;443023cf-58ff-4a58-81af-845b709d31ae;60;free_psychometric_test;Free Psychometric Test;Unlock the full Psychometric Assessment (worth ₹2,999) for free!;2026-04-20 05:43:14.95837+00
0a13bf67-764a-4af1-9b4a-f6a2561db092;443023cf-58ff-4a58-81af-845b709d31ae;90;free_interests_assessment;Free Interests Assessment;Unlock the full Interests Assessment Test (worth ₹2,999) for free!;2026-04-20 05:43:14.95837+00
